     Y_Requested       Y_Moved           X_Requested      X_Moved           Average_Intensity
     ===========      ==========        =============     ==========       ==================
         0                 0                 0                 0                 0        
         0                 0               400               400                 0        
         0                 0               800               800                 0        
       400               400                 0                 0                 0        
       400               400               400               400                 0        
       400               400               800               800                 0        
       800               800                 0                 0                 0        
       800               800               400               400                 0        
       800               800               800               800                 0        
         0                 0                 0                 0                 0        
         0                 0               400               400                 0        
         0                 0               800               800                 0        
       400               400                 0                 0                 0        
       400               400               400               400                 0        
       400               400               800               800                 0        
       800               800                 0                 0                 0        
       800               800               400               400                 0        
       800               800               800               800                 0        
