   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved           Average_Intensity
  =============      ==============     ============        ==========    ===========       =====================

      3067              -500              -500             -1000             -1000        -0.01686126766        
      3068             -5000             -5000              -700              -700        -0.01691752703        
      3069             -5000             -5000             -5400             -5400        -0.01687144528        
      3070             -5000             -5000            -10100            -10100        -0.01671900524        
      3071             -5000             -5000            -14800            -14800        -0.01666071238        
      3072             -5000             -5000            -19500            -19500        -0.01666180345        
      3073             -5000             -5000            -24200            -24200        -0.01685488973        
      3074             -5000             -5000            -28900            -28900        -0.01693371081        
      3075             -9700             -9700              -700              -700        -0.01685658312        
      3076             -9700             -9700             -5400             -5400        -0.01611840034        
      3077             -9700             -9700            -10100            -10100        -0.0007393264029        
      3078             -9700             -9700            -14800            -14800        -0.0001265165801        
      3079             -9700             -9700            -19500            -19500        0.0006761151553        
      3080             -9700             -9700            -24200            -24200        -0.0114330848        
      3081             -9700             -9700            -28900            -28900        -0.01688891323        
      3082            -14400            -14400              -700              -700        -0.01684496772        
      3083            -14400            -14400             -5400             -5400        -0.01535685411        
      3084            -14400            -14400            -10100            -10100        0.009910615372        
      3085            -14400            -14400            -14800            -14800        0.01211024444        
      3086            -14400            -14400            -19500            -19500        0.01344154208        
      3087            -14400            -14400            -24200            -24200        -0.007181008374        
      3088            -14400            -14400            -28900            -28900        -0.01686760122        
      3089            -19100            -19100              -700              -700        -0.01683546836        
      3090            -19100            -19100             -5400             -5400        -0.01513924518        
      3091            -19100            -19100            -10100            -10100        0.009614374736        
      3092            -19100            -19100            -14800            -14800        0.0125425606        
      3093            -19100            -19100            -19500            -19500        0.01395013501        
      3094            -19100            -19100            -24200            -24200        -0.006638461855        
      3095            -19100            -19100            -28900            -28900        -0.01685545704        
      3096            -23800            -23800              -700              -700        -0.01683821847        
      3097            -23800            -23800             -5400             -5400        -0.01518432405        
      3098            -23800            -23800            -10100            -10100        0.009887221678        
      3099            -23800            -23800            -14800            -14800        0.01223413346        
      3100            -23800            -23800            -19500            -19500        0.01334164268        
      3101            -23800            -23800            -24200            -24200        -0.006939956632        
      3102            -23800            -23800            -28900            -28900        -0.01684585453        
      3103            -28500            -28500              -700              -700        -0.01685559515        
      3104            -28500            -28500             -5400             -5400        -0.0160306942        
      3105            -28500            -28500            -10100            -10100        -0.002161636022        
      3106            -28500            -28500            -14800            -14800        -0.001421075449        
      3107            -28500            -28500            -19500            -19500        -0.0008629187728        
      3108            -28500            -28500            -24200            -24200        -0.01179679603        
      3109            -28500            -28500            -28900            -28900        -0.01685094633        
      3110            -33200            -33200              -700              -700        -0.01689408493        
      3111            -33200            -33200             -5400             -5400        -0.01690036711        
      3112            -33200            -33200            -10100            -10100        -0.01682894008        
      3113            -33200            -33200            -14800            -14800        -0.01676614738        
      3114            -33200            -33200            -19500            -19500        -0.01675407858        
      3115            -33200            -33200            -24200            -24200        -0.01686219369        
      3116            -33200            -33200            -28900            -28900        -0.01691251113        
      3117             -3752             -3752             -2285             -2285        -0.01685357463        
      3118             -3752             -3752             -5435             -5435        -0.01687225005        
      3119             -3752             -3752             -8585             -8585        -0.016815468        
      3120             -3752             -3752            -11735            -11735        -0.01682170563        
